CG,interaction_tau_amyloid_pathway_on_fc,log_fc_smooth,prs_noapoe_int,t3,0
CG,interaction_tau_amyloid_pathway_on_fc,log_fc_smooth,prs_noapoe_int,t4,0
CST,interaction_tau_amyloid_pathway_on_fd,fd_smooth,pathway5_amyloid_noapoe_BA_int,t1,0
CST,interaction_tau_amyloid_pathway_on_fd,fd_smooth,pathway5_amyloid_noapoe_BA_int,t2,81 
CST,interaction_tau_amyloid_pathway_on_fd,fd_smooth,pathway5_amyloid_noapoe_BA_int,t3,0
CST,interaction_tau_amyloid_pathway_on_fd,fd_smooth,pathway5_amyloid_noapoe_BA_int,t4,0
CG,interaction_tau_clearance_on_fc,log_fc_smooth,pathway6_cleaning_noapoe_BA_int,t1,4085 
CG,interaction_tau_clearance_on_fc,log_fc_smooth,pathway6_cleaning_noapoe_BA_int,t2,0
CG,interaction_tau_clearance_on_fc,log_fc_smooth,pathway6_cleaning_noapoe_BA_int,t3,0
CG,interaction_tau_clearance_on_fc,log_fc_smooth,pathway6_cleaning_noapoe_BA_int,t4,184 
CC_7,interaction_tau_immune_on_fd,fd_smooth,pathway1_immuneactiv_noapoe_BA_int,t1,522 
CC_7,interaction_tau_immune_on_fd,fd_smooth,pathway1_immuneactiv_noapoe_BA_int,t2,0
CC_7,interaction_tau_immune_on_fd,fd_smooth,pathway1_immuneactiv_noapoe_BA_int,t3,0
CC_7,interaction_tau_immune_on_fd,fd_smooth,pathway1_immuneactiv_noapoe_BA_int,t4,0
IFO,interaction_tau_immune_on_fd,fd_smooth,pathway1_immuneactiv_noapoe_BA_int,t1,387 
IFO,interaction_tau_immune_on_fd,fd_smooth,pathway1_immuneactiv_noapoe_BA_int,t2,0
IFO,interaction_tau_immune_on_fd,fd_smooth,pathway1_immuneactiv_noapoe_BA_int,t3,0
IFO,interaction_tau_immune_on_fd,fd_smooth,pathway1_immuneactiv_noapoe_BA_int,t4,0
ILF,interaction_tau_immune_on_fd,fd_smooth,pathway1_immuneactiv_noapoe_BA_int,t1,25 
ILF,interaction_tau_immune_on_fd,fd_smooth,pathway1_immuneactiv_noapoe_BA_int,t2,0
ILF,interaction_tau_immune_on_fd,fd_smooth,pathway1_immuneactiv_noapoe_BA_int,t3,0
ILF,interaction_tau_immune_on_fd,fd_smooth,pathway1_immuneactiv_noapoe_BA_int,t4,0
OR,interaction_tau_immune_on_fd,fd_smooth,pathway1_immuneactiv_noapoe_BA_int,t1,363 
OR,interaction_tau_immune_on_fd,fd_smooth,pathway1_immuneactiv_noapoe_BA_int,t2,0
OR,interaction_tau_immune_on_fd,fd_smooth,pathway1_immuneactiv_noapoe_BA_int,t3,0
OR,interaction_tau_immune_on_fd,fd_smooth,pathway1_immuneactiv_noapoe_BA_int,t4,0
UF,interaction_tau_immune_on_fd,fd_smooth,pathway1_immuneactiv_noapoe_BA_int,t1,0
UF,interaction_tau_immune_on_fd,fd_smooth,pathway1_immuneactiv_noapoe_BA_int,t2,0
UF,interaction_tau_immune_on_fd,fd_smooth,pathway1_immuneactiv_noapoe_BA_int,t3,0
UF,interaction_tau_immune_on_fd,fd_smooth,pathway1_immuneactiv_noapoe_BA_int,t4,0
SLF_II,interaction_tau_migration_on_fd,fd_smooth,pathway4_migration_noapoe_BA_int,t1,0
SLF_II,interaction_tau_migration_on_fd,fd_smooth,pathway4_migration_noapoe_BA_int,t2,0
SLF_II,interaction_tau_migration_on_fd,fd_smooth,pathway4_migration_noapoe_BA_int,t3,62 
SLF_II,interaction_tau_migration_on_fd,fd_smooth,pathway4_migration_noapoe_BA_int,t4,0
AF,interaction_tau_prsapoe_on_fc,log_fc_smooth,prs_apoe_int,t1,0
AF,interaction_tau_prsapoe_on_fc,log_fc_smooth,prs_apoe_int,t2,1317 
AF,interaction_tau_prsapoe_on_fc,log_fc_smooth,prs_apoe_int,t3,0
AF,interaction_tau_prsapoe_on_fc,log_fc_smooth,prs_apoe_int,t4,0
STR,interaction_tau_signaltrasd_on_fd,fd_smooth,pathway2_signaltrasd_noapoe_BA_int,t1,7 
STR,interaction_tau_signaltrasd_on_fd,fd_smooth,pathway2_signaltrasd_noapoe_BA_int,t2,215 
STR,interaction_tau_signaltrasd_on_fd,fd_smooth,pathway2_signaltrasd_noapoe_BA_int,t3,198 
STR,interaction_tau_signaltrasd_on_fd,fd_smooth,pathway2_signaltrasd_noapoe_BA_int,t4,0
ATR,main_effect_amyloid_on_fc,log_fc_smooth,prs_apoe_int,t1,0
ATR,main_effect_amyloid_on_fc,log_fc_smooth,prs_apoe_int,t2,5105 
ATR,main_effect_amyloid_on_fc,log_fc_smooth,prs_apoe_int,t3,0
ATR,main_effect_amyloid_on_fc,log_fc_smooth,prs_apoe_int,t4,0
CG,main_effect_amyloid_on_fc,log_fc_smooth,prs_apoe_int,t1,200 
CG,main_effect_amyloid_on_fc,log_fc_smooth,prs_apoe_int,t2,0
